tap,69-15 p,69 q,15 q,27-54 p,27 q,54 q,cost,pv profile,bus1,bus2,bus3,bus4,bus5,bus6,bus7,bus8,bus9,bus10,bus11,bus12,bus13,bus14,bus15,bus16,bus17,bus18,bus19,bus20,bus21,bus22,bus23,bus24,bus25,bus26,bus27,bus28,bus29,bus30,bus31,bus32,bus33,bus34,bus35,bus36,bus37,bus38,bus39,bus40,bus41,bus42,bus43,bus44,bus45,bus46,bus47,bus48,bus49,bus50,bus51,bus52,bus53,bus54,bus55,bus56,bus57,bus58,bus59,bus60,bus61,bus62,bus63,bus64,bus65,bus66,bus67,bus68,bus69
1.002,-0.9,-0.3,-0.27,0.9,-0.3,-0.03,0.000212958,0,1.002,1.001998367,1.001996734,1.001992471,1.001953816,1.001384208,1.000792018,1.00065174,1.000612049,0.999876793,0.999712572,0.999157249,0.997750537,0.99633187,0.994901366,0.994752837,0.99448212,0.994478935,0.994243869,0.994092761,0.993847914,0.993839024,0.993738633,0.993520139,0.993062873,0.992874269,0.992770267,1.001996119,1.001989844,1.001980923,1.001979349,1.001971478,1.001952594,1.001931394,1.001925149,1.001995455,1.00197954,1.001964856,1.001960618,1.001960412,1.001895809,1.001868732,1.001865155,1.001864384,1.001855262,1.001855223,1.001987856,1.001873046,1.001518583,1.00146832,1.000590744,1.000414945,1.000294172,1.000168569,0.999808728,0.999457861,0.997625969,0.99672312,0.996373494,0.995962866,0.995370253,0.99534565,0.995312719,0.995151325,0.995102568,0.99970745,0.999707391,0.999667357,0.999670704
1.002,-0.9,-0.3,-0.27,0.9,-0.3,-0.18,0.000219004,0,1.002,1.001998629,1.001997259,1.001993747,1.001961446,1.001450286,1.000918934,1.000793216,1.000754852,1.000040438,0.999880771,0.999339322,0.997944462,0.996537466,0.995118437,0.994972008,0.994704609,0.994701454,0.994468779,0.994319207,0.994076839,0.994067986,0.993967984,0.993750335,0.993294048,0.993105847,0.993001973,1.001996678,1.001990754,1.001982333,1.001980847,1.001973416,1.001955589,1.001935577,1.001929681,1.001996051,1.001981028,1.001967166,1.001963164,1.00196297,1.001901984,1.001876422,1.001873045,1.001872318,1.001863706,1.001863669,1.001989391,1.001881011,1.001546399,1.001498951,1.000744071,1.000602185,1.000506378,1.000406242,1.000065893,0.99973402,0.998002514,0.997149141,0.996818681,0.99643057,0.995869949,0.995846735,0.995815663,0.995663381,0.995617377,0.999875936,0.99987588,0.999851018,0.999854369
1.002,-0.9,-0.3,-0.27,0.9,-0.3,0.21,0.000217006,0,1.002,1.001998379,1.001996759,1.001992479,1.001954011,1.001413078,1.000850638,1.000717293,1.000679889,0.999979174,0.999822531,0.999289597,0.997902732,0.99650368,0.995092534,0.994947574,0.994682624,0.994679494,0.994448019,0.99429922,0.994058098,0.994049262,0.993949444,0.993732197,0.993276339,0.993088316,0.99298449,1.001996196,1.001990455,1.001982292,1.001980852,1.00197365,1.001956372,1.001936975,1.00193126,1.001995589,1.001981027,1.001967592,1.001963713,1.001963526,1.001904415,1.00187964,1.001876367,1.001875662,1.001867315,1.00186728,1.001988257,1.001883214,1.001558901,1.001512913,1.000658504,1.00049701,1.000376998,1.000255591,0.999926518,0.999605654,0.9979304,0.997104747,0.996785013,0.996409496,0.995867562,0.995845062,0.995814946,0.99566735,0.995622762,0.999817845,0.999817791,0.999802174,0.999805528
1.002,-0.9,-0.3,-0.27,0.9,-0.3,-0.15,0.000221801,0,1.002,1.001998672,1.001997344,1.001993943,1.001962649,1.001466734,1.000951228,1.000829262,1.000791599,1.000087942,0.99993063,0.9993962,0.998007461,0.996606506,0.995193428,0.995048094,0.994782448,0.99477931,0.994547794,0.994398969,0.994157804,0.994148968,0.994049152,0.993831908,0.993376082,0.993188072,0.993084256,1.00199678,1.001991028,1.001982851,1.001981408,1.001974193,1.001956883,1.001937451,1.001931726,1.001996172,1.001981584,1.001968124,1.001964238,1.00196405,1.001904833,1.001880013,1.001876733,1.001876027,1.001867665,1.00186763,1.001989714,1.001884479,1.001559577,1.001513505,1.000782419,1.000648891,1.000557076,1.000461767,1.000131195,0.999808854,0.998127313,0.997298563,0.99697764,0.996600732,0.996056196,0.996033659,0.996003495,0.995855658,0.995810997,0.999925936,0.999925881,0.999908685,0.999912039
1.002,-0.9,-0.3,-0.27,0.9,-0.3,-0.06,0.000217047,0,1.002,1.001998532,1.001997064,1.001993261,1.001958575,1.001432496,1.000885587,1.000756097,1.000717822,1.000004429,0.999844993,0.999304069,0.997909853,0.996503511,0.995085144,0.994938843,0.994671681,0.994668529,0.994435872,0.994286313,0.994043964,0.994035111,0.993935109,0.993717461,0.993261165,0.993072961,0.992969084,1.001996484,1.001990564,1.001982149,1.001980664,1.001973239,1.001955425,1.001935426,1.001929535,1.001995858,1.001980845,1.001966993,1.001962994,1.001962801,1.001901857,1.001876314,1.00187294,1.001872213,1.001863607,1.001863571,1.001988908,1.001880606,1.001546234,1.001498819,1.000702985,1.000551827,1.000446648,1.000337843,0.999998036,0.999666696,0.997937504,0.99708527,0.996755248,0.99636765,0.995807966,0.995784766,0.995753715,0.995601533,0.995555559,0.999840162,0.999840106,0.999815799,0.999819151
1.002,-0.5,-0.3,-0.27,0.9,-0.3,0.27,0.000217651,0,1.002,1.001998123,1.001996246,1.00199124,1.001946622,1.001345987,1.000721423,1.000573237,1.000533553,0.999801395,0.999637804,0.999085161,0.997980317,0.996867258,0.995746087,0.995597205,0.995325567,0.995322365,0.995088344,0.994937907,0.994694143,0.994685275,0.994585113,0.994367118,0.993910627,0.993722343,0.993618485,1.001995643,1.00198949,1.001980741,1.001979198,1.001971479,1.001952961,1.001932171,1.001926047,1.001994992,1.001979386,1.001964986,1.001960829,1.001960628,1.001897275,1.001870721,1.001867213,1.001866458,1.001857512,1.001857474,1.001986715,1.001874128,1.001526526,1.001477236,1.000504167,1.000311414,1.000170639,1.000027266,0.999674136,0.999329809,0.997532412,0.996646563,0.996303522,0.995900631,0.995319039,0.99529491,0.995262615,0.995104337,0.995056521,0.999632781,0.999632723,0.999379785,0.99938176
1.002,-0.9,-0.3,-0.27,0.9,-0.3,-0.06,0.000212995,0,1.002,1.001998322,1.001996644,1.001992265,1.001952555,1.0013673,1.000758844,1.000614714,1.000574293,0.999827943,0.999661288,0.999098697,0.997685544,0.996260512,0.994823728,0.994674043,0.994401461,0.994398257,0.994162019,0.994010157,0.993764094,0.993755186,0.993654607,0.993435703,0.99297797,0.992789174,0.992685112,1.001996012,1.001989564,1.001980396,1.001978779,1.00197069,1.001951284,1.001929499,1.00192308,1.00199533,1.001978976,1.001963886,1.00195953,1.001959319,1.001892929,1.001865103,1.001861427,1.001860635,1.00185126,1.001851221,1.001987523,1.001869537,1.001505268,1.001453614,1.000551369,1.00036707,1.000242212,1.000111683,0.999741927,0.999381392,0.997498873,0.996571073,0.996211783,0.995789806,0.995180876,0.995155587,0.995121739,0.994955851,0.994905736,0.999656025,0.999655964,0.99960801,0.999611354
1.002,-0.9,-0.3,-0.27,0.9,-0.3,-0.27,0.000212465,0,1.002,1.001998356,1.001996712,1.001992469,1.001953665,1.001356373,1.00073547,1.000588501,1.000546521,0.99977697,0.999605216,0.999027604,0.997600832,0.996162313,0.994712193,0.994560045,0.994283439,0.994280196,0.994041639,0.993888287,0.993639819,0.993630876,0.993529928,0.99331022,0.992851584,0.992662415,0.99255824,1.001996046,1.001989253,1.001979595,1.001977891,1.00196937,1.001948926,1.001925976,1.001919215,1.001995327,1.001978098,1.001962202,1.001957613,1.00195739,1.001887451,1.001858137,1.001854264,1.00185343,1.001843554,1.001843512,1.001987473,1.001863175,1.001479418,1.001425001,1.00052554,1.000336249,1.000215163,1.000085879,0.999695981,0.999315801,0.997331079,0.996352912,0.995974121,0.995529239,0.994887099,0.99486045,0.994824782,0.99464997,0.99459716,0.999599671,0.999599606,0.999535315,0.999538654
1.002,-0.9,-0.3,-0.27,0.9,-0.3,-0.27,0.000214586,0.004526749,1.002,1.001998119,1.001996238,1.001991341,1.001946951,1.001284359,1.000595545,1.000432437,1.000388487,0.999589082,0.999410873,0.998815797,0.99737487,0.995922598,0.994459152,0.994304566,0.994024512,0.994021245,0.993780703,0.993626075,0.993374423,0.993365463,0.993264379,0.993044374,0.992586591,0.992396744,0.992292363,1.001995511,1.0019881,1.001977564,1.001975705,1.001966409,1.001944106,1.001919069,1.001911692,1.001994742,1.001976157,1.001959162,1.001954256,1.00195402,1.001877719,1.001845739,1.001841514,1.001840603,1.001829829,1.001829784,1.001985891,1.00185028,1.001431602,1.001372233,1.000357486,1.000129373,0.999985219,0.999830478,0.999405488,0.998991099,0.996826782,0.995760104,0.995347033,0.994861883,0.994162033,0.994132939,0.994093998,0.993903146,0.993845489,0.999404822,0.999404751,0.99932067,0.999324
1.002,-0.7,-0.3,-0.27,0.9,-0.3,0.12,0.000217533,0.035493827,1.002,1.001997658,1.001995315,1.001989037,1.001934047,1.001200251,1.000437258,1.000256347,1.000213898,0.999444184,0.999272965,0.998709842,0.997450684,0.996182818,0.994906426,0.994757649,0.994489334,0.994486225,0.994258396,0.99411194,0.993865784,0.993857114,0.993759355,0.993546588,0.993105299,0.99291522,0.992810807,1.001994554,1.001986787,1.001975745,1.001973796,1.001964054,1.00194068,1.001914439,1.001906709,1.001993846,1.001975804,1.001960352,1.001955892,1.001955685,1.001875719,1.001842202,1.001837774,1.00183682,1.001825529,1.001825481,1.001983325,1.001841195,1.00140239,1.001340167,1.000160968,0.999878616,0.999689364,0.999490427,0.999045076,0.998610836,0.996342351,0.995224336,0.994791383,0.994282877,0.993549537,0.993519026,0.993478188,0.993278043,0.993217579,0.999266623,0.999266549,0.999104999,0.999107637
