tap,69-15 p,69 q,15 q,27-54 p,27 q,54 q,cost,pv profile,bus1,bus2,bus3,bus4,bus5,bus6,bus7,bus8,bus9,bus10,bus11,bus12,bus13,bus14,bus15,bus16,bus17,bus18,bus19,bus20,bus21,bus22,bus23,bus24,bus25,bus26,bus27,bus28,bus29,bus30,bus31,bus32,bus33,bus34,bus35,bus36,bus37,bus38,bus39,bus40,bus41,bus42,bus43,bus44,bus45,bus46,bus47,bus48,bus49,bus50,bus51,bus52,bus53,bus54,bus55,bus56,bus57,bus58,bus59,bus60,bus61,bus62,bus63,bus64,bus65,bus66,bus67,bus68,bus69
1.002,-0.9,-0.27,-0.24,0.9,-0.27,-0.06,0.000213004,0,1.002,1.001998322,1.001996645,1.001992248,1.001952506,1.001376066,1.000776752,1.000634747,1.000593554,0.999842126,0.999674195,0.999104352,0.997683977,0.99625136,0.994806631,0.994656879,0.994383831,0.994380616,0.994143176,0.993990541,0.993743216,0.993734225,0.99363268,0.993411672,0.992948968,0.992758117,0.992652856,1.00199603,1.001989755,1.001980834,1.00197926,1.001971389,1.001952505,1.001931305,1.00192506,1.001995366,1.001979451,1.001964767,1.001960528,1.001960323,1.00189572,1.001868643,1.001865065,1.001864295,1.001855172,1.001855134,1.001987633,1.001872824,1.00151836,1.001468097,1.000574846,1.000401624,1.000283426,1.000160214,0.999800543,0.999449845,0.997618581,0.99671604,0.996366532,0.995956042,0.995363734,0.99533913,0.995306199,0.995144805,0.995096048,0.999669073,0.999669014,0.99960913,0.999612442
1,-0.6,-0.27,-0.27,0.9,-0.27,0.12,0.000228334,0,1,0.999998594,0.999997187,0.999993571,0.999960425,0.999443675,0.998906498,0.998779375,0.998743624,0.998057344,0.997904137,0.997374372,0.996229104,0.995075131,0.993912526,0.993770577,0.993511736,0.993508692,0.993273335,0.993122039,0.992876873,0.992867907,0.992766616,0.99254616,0.992083815,0.991893113,0.991787838,0.999996606,0.99999067,0.999982232,0.999980743,0.999973298,0.999955435,0.999935382,0.999929475,0.999995978,0.999980924,0.999967034,0.999963025,0.999962831,0.999901722,0.999876109,0.999872726,0.999871997,0.999863368,0.999863331,0.999989206,0.999880609,0.999545327,0.999497783,0.998723901,0.99856709,0.998456414,0.99834247,0.998014121,0.997694143,0.996006038,0.995174023,0.99485172,0.994473105,0.993933991,0.993910731,0.993879599,0.99372702,0.993680926,0.997899294,0.997899237,0.997719189,0.997721479
1.002,-0.8,-0.21,-0.27,0.9,-0.27,-0.09,0.000221302,0,1.002,1.001998521,1.001997042,1.001993188,1.001958211,1.001439688,1.000900608,1.000772923,1.000733154,1.000007194,0.999844761,0.99929061,0.997970513,0.996639014,0.995296211,0.995149481,0.994881152,0.994877979,0.994644213,0.99449394,0.994250425,0.994241492,0.994140556,0.993920874,0.993459744,0.993269543,0.993164496,1.00199648,1.001990738,1.001982576,1.001981135,1.001973934,1.001956655,1.001937258,1.001931544,1.001995872,1.001981311,1.001967875,1.001963997,1.001963809,1.001904699,1.001879924,1.001876651,1.001875946,1.001867599,1.001867564,1.001988967,1.001883923,1.00155961,1.001513622,1.000724286,1.000586707,1.00049058,1.000391339,1.000061587,0.99974005,0.998062347,0.997235488,0.996915294,0.996539241,0.99599609,0.995973592,0.995943481,0.995795904,0.995751321,0.999840075,0.99984002,0.999733128,0.999736034
1.002,-0.9,-0.27,-0.3,0.9,-0.27,0.06,0.000218555,0,1.002,1.001998476,1.001996951,1.001992961,1.001956852,1.001430392,1.00088304,1.000753356,1.000715319,1.000007595,0.999849351,0.999310682,0.997923211,0.996523552,0.995111798,0.994965304,0.99469745,0.994694283,0.994460396,0.994310046,0.994066406,0.99405747,0.993956501,0.993736746,0.993275487,0.993085233,0.99298016,1.001996387,1.001990635,1.001982458,1.001981015,1.0019738,1.00195649,1.001937058,1.001931333,1.001995779,1.001981191,1.001967731,1.001963845,1.001963657,1.00190444,1.00187962,1.00187634,1.001875634,1.001867272,1.001867237,1.001988731,1.001883496,1.001558594,1.001512522,1.000699455,1.000549297,1.00044087,1.000330145,1.000000184,0.999678449,0.997999106,0.997171438,0.996850927,0.9964745,0.995931059,0.99590852,0.995878351,0.995730496,0.995685829,0.999844657,0.999844603,0.999817849,0.999821168
1.002,-0.7,-0.21,-0.27,0.9,-0.27,-0.09,0.000220261,0,1.002,1.00199844,1.00199688,1.001992801,1.001955886,1.001416039,1.000854775,1.000721807,1.000681162,0.999942649,0.999777451,0.999215318,0.997963054,0.996700417,0.995427511,0.995279319,0.995008549,0.99500535,0.99477044,0.994619432,0.994374732,0.994365783,0.99426468,0.994044634,0.993583144,0.993392794,0.993287714,1.0019963,1.001990381,1.001981965,1.00198048,1.001973055,1.001955241,1.001935243,1.001929351,1.001995674,1.001980661,1.001966809,1.00196281,1.001962617,1.001901674,1.001876131,1.001872756,1.001872029,1.001863423,1.001863387,1.001988448,1.001880146,1.001545774,1.001498359,1.000669659,1.000520772,1.000417864,1.000311165,0.999971129,0.999639563,0.997909511,0.997056854,0.99672667,0.996338884,0.995778792,0.995755592,0.99572454,0.995572354,0.995526378,0.99977262,0.999772563,0.999603011,0.999605571
1.002,-0.9,-0.21,-0.27,1,-0.27,0.27,0.000212976,0,1.002,1.00199809,1.00199618,1.001991075,1.001945598,1.001338691,1.000707592,1.000557824,1.000513448,0.999708533,0.99952831,0.998908379,0.997427488,0.995933563,0.99442672,0.994264078,0.993966259,0.993962729,0.993701788,0.993534046,0.993262214,0.993252197,0.993138982,0.992892573,0.992374669,0.992161051,0.992042991,1.001995577,1.001989424,1.001980675,1.001979132,1.001971413,1.001952895,1.001932105,1.001925981,1.001994926,1.00197932,1.00196492,1.001960763,1.001960562,1.001897209,1.001870656,1.001867147,1.001866392,1.001857446,1.001857408,1.00198655,1.001873963,1.001526361,1.001477071,1.000495995,1.000328581,1.000201606,1.000074077,0.999722379,0.999379471,0.997587396,0.996704166,0.996362126,0.995960402,0.995381362,0.995357235,0.995324942,0.995166674,0.995118861,0.999523286,0.999523228,0.99940311,0.999406354
1.002,-0.9,-0.21,-0.27,1,-0.27,-0.18,0.000212967,0,1.002,1.001998345,1.00199669,1.00199238,1.001953221,1.001371244,1.000766207,1.000622905,1.000577083,0.999751135,0.999566277,0.998933087,0.997439988,0.995933956,0.994415121,0.994250252,0.993948759,0.993945192,0.99368229,0.993513288,0.993239422,0.993229376,0.993115855,0.992868781,0.99235015,0.992136232,0.992018086,1.001996058,1.00198961,1.001980442,1.001978825,1.001970736,1.00195133,1.001929545,1.001923127,1.001995376,1.001979022,1.001963932,1.001959576,1.001959365,1.001892975,1.001865149,1.001861473,1.001860681,1.001851307,1.001851267,1.001987638,1.001869652,1.001505383,1.00145373,1.000570566,1.000420471,1.000318272,1.000211807,0.999842309,0.99948203,0.997600519,0.996673215,0.996314116,0.99589236,0.995283886,0.9952586,0.995224755,0.995058884,0.995008775,0.999561013,0.999560951,0.999426413,0.999429652
1.002,-0.8,-0.3,-0.27,1,-0.24,-0.06,0.000212944,0,1.002,1.001998151,1.001996303,1.001991446,1.001947621,1.001318384,1.000664172,1.000509132,1.000462946,0.999626917,0.999439969,0.998803121,0.997365723,0.995916363,0.994455193,0.994286581,0.993978622,0.993974984,0.99370746,0.993535486,0.993256811,0.993246632,0.993131619,0.992881296,0.992356466,0.992139987,0.992020503,1.001995637,1.001988844,1.001979186,1.001977482,1.001968961,1.001948517,1.001925567,1.001918805,1.001994918,1.001977689,1.001961792,1.001957203,1.001956981,1.001887041,1.001857728,1.001853855,1.00185302,1.001843144,1.001843103,1.00198645,1.001862151,1.001478394,1.001423977,1.000445965,1.000264466,1.000139655,1.000009947,0.999620893,0.999241549,0.997259908,0.996283257,0.995905045,0.995460838,0.994820206,0.994793555,0.994757884,0.994583061,0.994530247,0.999434422,0.999434358,0.999256892,0.999259889
1.002,-0.2,-0.3,-0.27,0.9,-0.27,0,0.000211866,0.004526749,1.002,1.001997795,1.00199559,1.001989721,1.001937451,1.00122582,1.000485871,1.000310372,1.000264897,0.999450353,0.999268669,0.998663424,0.997734577,0.996800873,0.995862476,0.995704264,0.995417276,0.995413919,0.995171432,0.995015553,0.994761871,0.994752827,0.994650774,0.994428659,0.993966282,0.993774538,0.993669091,1.001994863,1.001987452,1.001976916,1.001975057,1.001965761,1.001943458,1.001918421,1.001911044,1.001994094,1.001975509,1.001958514,1.001953608,1.001953371,1.001877071,1.001845091,1.001840866,1.001839955,1.001829181,1.001829135,1.00198427,1.00184866,1.001429981,1.001370612,1.000225822,0.999975084,0.999808347,0.999632641,0.999206814,0.998791598,0.996624065,0.995555805,0.995142128,0.994656272,0.993954943,0.993925843,0.993886893,0.993696001,0.993638333,0.999262617,0.999262546,0.998789973,0.998790899
1.002,-0.9,-0.27,-0.21,0.8,-0.24,-0.3,0.000214188,0.035493827,1.002,1.001997889,1.001995778,1.001990193,1.001940873,1.001243183,1.000517829,1.000346039,1.000304448,0.999565011,0.999400686,0.998864013,0.99750001,0.996125715,0.99474134,0.994604207,0.994358059,0.994355226,0.994146833,0.994012869,0.993786971,0.993779132,0.993690806,0.993498567,0.993101648,0.992929865,0.99283571,1.001995016,1.001987249,1.001976207,1.001974259,1.001964516,1.001941142,1.001914901,1.001907171,1.001994309,1.001976266,1.001960815,1.001956355,1.001956147,1.001876181,1.001842665,1.001838237,1.001837283,1.001825991,1.001825943,1.00198448,1.001842351,1.001403546,1.001341324,1.000258226,0.999985427,0.999817219,0.999634783,0.999188925,0.998754183,0.996483912,0.99536502,0.994931731,0.994422836,0.993688585,0.993658078,0.993617246,0.993417129,0.993356673,0.999394345,0.999394271,0.999361832,0.999365122
